Timestamp,Energy Consumption (kWh),Temperature (°C),Building Occupancy,Energy Tariff ($/kWh),Efficiency Recommendations,Estimated Cost Savings ($)
1/4/2023 1:00,11.16,20.4,50,0.22,Shift heavy operations to off-peak hours.,0.17
1/4/2023 2:00,20.53,19.88,12,0.2,No action needed,0
1/4/2023 3:00,8.15,26.51,56,0.13,No action needed,0
1/4/2023 4:00,6.75,21.14,96,0.28,Shift heavy operations to off-peak hours.,0.13
1/4/2023 5:00,23.67,15.86,32,0.27,Shift heavy operations to off-peak hours.,0.45
1/4/2023 6:00,17.23,30.87,52,0.2,No action needed,0
1/4/2023 7:00,19.17,15.15,123,0.19,No action needed,0
1/4/2023 8:00,16.89,28.78,31,0.24,Shift heavy operations to off-peak hours.,0.28
1/4/2023 9:00,10.01,21.24,28,0.29,Shift heavy operations to off-peak hours.,0.2
1/4/2023 10:00,12.61,27.52,95,0.13,No action needed,0
1/4/2023 11:00,14.04,15.74,106,0.22,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.34
1/4/2023 12:00,17.46,31.99,63,0.15,No action needed,0
1/4/2023 13:00,24.8,34.24,104,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.65
1/4/2023 14:00,18.03,27.58,56,0.25,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.5
1/4/2023 15:00,12.38,19.15,69,0.16,No action needed,0
1/4/2023 16:00,18.14,30.81,13,0.27,Shift heavy operations to off-peak hours.,0.34
1/4/2023 17:00,21.77,20.15,130,0.18,Investigate devices left on overnight.,0.16
1/4/2023 18:00,12.37,32.56,100,0.2,No action needed,0
1/4/2023 19:00,13.36,26.88,132,0.14,No action needed,0
1/4/2023 20:00,11.31,26.08,93,0.17,No action needed,0
1/4/2023 21:00,12.56,33.7,79,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.36
1/4/2023 22:00,18.11,30.07,80,0.19,No action needed,0
1/4/2023 23:00,17.16,26.09,98,0.25,Shift heavy operations to off-peak hours.,0.3
1/5/2023 0:00,16.44,19.36,118,0.17,No action needed,0
1/5/2023 1:00,23.65,20.31,43,0.23,Shift heavy operations to off-peak hours.,0.38
1/5/2023 2:00,13.43,18.72,94,0.14,No action needed,0
1/5/2023 3:00,19.47,16.82,37,0.19,No action needed,0
1/5/2023 4:00,6.93,17.78,127,0.12,No action needed,0
1/5/2023 5:00,23.09,18.99,100,0.29,Shift heavy operations to off-peak hours.,0.47
1/5/2023 6:00,19.76,15.98,65,0.18,No action needed,0
1/5/2023 7:00,5.19,28.95,80,0.26,Shift heavy operations to off-peak hours.,0.09
1/5/2023 8:00,6.34,23.07,34,0.15,No action needed,0
1/5/2023 9:00,22.15,34.11,20,0.26,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.69
1/5/2023 10:00,7.78,26.14,134,0.16,No action needed,0
1/5/2023 11:00,5.03,30.51,86,0.23,Shift heavy operations to off-peak hours.,0.08
1/5/2023 12:00,17.8,25.02,70,0.13,Investigate devices left on overnight.,0.09
1/5/2023 13:00,18.53,20.12,44,0.22,Shift heavy operations to off-peak hours.,0.29
1/5/2023 14:00,16.06,28.13,89,0.13,No action needed,0
1/5/2023 15:00,11.45,15.98,36,0.21,Shift heavy operations to off-peak hours.,0.17
1/5/2023 16:00,15.21,31.95,150,0.28,Shift heavy operations to off-peak hours.,0.3
1/5/2023 17:00,14.76,22.08,17,0.16,No action needed,0
1/5/2023 18:00,21.49,23.2,51,0.12,No action needed,0
1/5/2023 19:00,18.15,21.56,144,0.16,No action needed,0
1/5/2023 20:00,23.95,19.93,60,0.28,Shift heavy operations to off-peak hours.,0.47
1/5/2023 21:00,7.28,28.9,129,0.29,Shift heavy operations to off-peak hours.,0.15
1/5/2023 22:00,16.23,22.99,63,0.2,No action needed,0
1/5/2023 23:00,8.49,24.36,23,0.18,No action needed,0
1/6/2023 0:00,9.25,19.85,30,0.23,Shift heavy operations to off-peak hours.,0.15
1/6/2023 1:00,11,20.37,95,0.18,No action needed,0
1/6/2023 2:00,7.31,31.84,117,0.15,No action needed,0
1/6/2023 3:00,21.01,16.51,66,0.23,Shift heavy operations to off-peak hours.,0.34
1/6/2023 4:00,13.83,22.9,36,0.22,Shift heavy operations to off-peak hours.,0.21
1/6/2023 5:00,15.69,33.05,65,0.28,Shift heavy operations to off-peak hours.,0.31
1/6/2023 6:00,22.11,24.89,14,0.13,No action needed,0
1/6/2023 7:00,20.36,22.25,61,0.27,Shift heavy operations to off-peak hours.,0.38
1/6/2023 8:00,10.51,15.97,14,0.3,Shift heavy operations to off-peak hours.,0.22
1/6/2023 9:00,15.15,23.94,103,0.24,Shift heavy operations to off-peak hours.,0.25
1/6/2023 10:00,5.26,32.09,105,0.26,Shift heavy operations to off-peak hours.,0.1
1/6/2023 11:00,24.3,25.64,125,0.17,Reduce HVAC cooling to save energy.,0.21
1/6/2023 12:00,10.92,17.74,123,0.2,No action needed,0
1/6/2023 13:00,9.47,17.47,6,0.15,Turn off unnecessary lights in unoccupied areas.,0.04
1/6/2023 14:00,16.88,21.13,128,0.29,Shift heavy operations to off-peak hours.,0.34
1/6/2023 15:00,21.68,21.72,25,0.28,Shift heavy operations to off-peak hours.,0.42
1/6/2023 16:00,24.12,31.82,91,0.29,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,1.12
1/6/2023 17:00,12.46,33.71,75,0.28,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.38
1/6/2023 18:00,13.16,30.93,34,0.21,Shift heavy operations to off-peak hours.,0.19
1/6/2023 19:00,20.26,24.16,119,0.23,Shift heavy operations to off-peak hours.,0.33
1/6/2023 20:00,6.1,32.28,40,0.29,Shift heavy operations to off-peak hours.,0.12
1/6/2023 21:00,10.47,29.06,65,0.21,Shift heavy operations to off-peak hours.,0.15
1/6/2023 22:00,16.59,17.81,113,0.3,Shift heavy operations to off-peak hours.,0.35
1/6/2023 23:00,19.24,20.1,150,0.23,Shift heavy operations to off-peak hours.,0.31
1/7/2023 0:00,8.04,22.01,68,0.18,No action needed,0
1/7/2023 1:00,6.11,24.64,58,0.27,Shift heavy operations to off-peak hours.,0.12
1/7/2023 2:00,13.22,31.92,68,0.15,No action needed,0
1/7/2023 3:00,16.56,30.35,42,0.11,Investigate devices left on overnight.,0.07
1/7/2023 4:00,18.64,19.71,123,0.18,No action needed,0
1/7/2023 5:00,16.29,17.49,23,0.27,Shift heavy operations to off-peak hours.,0.31
1/7/2023 6:00,7.09,15.16,41,0.18,No action needed,0
1/7/2023 7:00,20.28,21.22,131,0.12,No action needed,0
1/7/2023 8:00,23.55,19.99,115,0.28,Shift heavy operations to off-peak hours.,0.46
1/7/2023 9:00,8.14,17.69,74,0.25,Shift heavy operations to off-peak hours.,0.14
1/7/2023 10:00,8.99,29.53,119,0.21,Shift heavy operations to off-peak hours.,0.13
1/7/2023 11:00,23.14,19.54,49,0.21,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.53
1/7/2023 12:00,10.72,24.71,140,0.24,Shift heavy operations to off-peak hours.,0.18
1/7/2023 13:00,5.77,30.11,36,0.13,No action needed,0
1/7/2023 14:00,13.16,29.86,117,0.27,Shift heavy operations to off-peak hours.,0.25
1/7/2023 15:00,13.09,33.47,138,0.15,No action needed,0
1/7/2023 16:00,16.47,32.84,54,0.1,No action needed,0
1/7/2023 17:00,13.8,27.89,30,0.28,Shift heavy operations to off-peak hours.,0.27
1/7/2023 18:00,9.26,33.44,34,0.23,Shift heavy operations to off-peak hours.,0.15
1/7/2023 19:00,24.81,22.08,21,0.18,No action needed,0
1/7/2023 20:00,15.36,32.65,94,0.16,Investigate devices left on overnight.,0.1
1/7/2023 21:00,6.05,23.39,18,0.18,No action needed,0
1/7/2023 22:00,16,33.91,32,0.28,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.49
1/7/2023 23:00,14.65,25.36,59,0.22,Shift heavy operations to off-peak hours.,0.23
1/8/2023 0:00,15.87,24.34,37,0.11,No action needed,0
1/8/2023 1:00,18.3,30.95,60,0.22,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.44
1/8/2023 2:00,15.41,29.39,7,0.16,Turn off unnecessary lights in unoccupied areas.,0.07
1/8/2023 3:00,17.69,21.53,123,0.19,No action needed,0
1/8/2023 4:00,13.71,33.87,19,0.23,Shift heavy operations to off-peak hours.,0.22
1/8/2023 5:00,7.3,28.25,102,0.11,No action needed,0
1/8/2023 6:00,14.87,18.08,24,0.27,Shift heavy operations to off-peak hours.,0.28
1/8/2023 7:00,11.64,29.78,84,0.23,Shift heavy operations to off-peak hours.,0.19
1/8/2023 8:00,6.95,15.9,36,0.21,Shift heavy operations to off-peak hours.,0.1
1/8/2023 9:00,8.1,33.88,122,0.19,No action needed,0
1/8/2023 10:00,9.76,27.23,96,0.12,No action needed,0
1/8/2023 11:00,5.51,29,146,0.22,Shift heavy operations to off-peak hours.,0.08
1/8/2023 12:00,22.31,20.49,52,0.14,No action needed,0
1/8/2023 13:00,23.04,25.22,81,0.13,Reduce HVAC cooling to save energy.,0.15
1/8/2023 14:00,5.39,24.33,102,0.12,No action needed,0
1/8/2023 15:00,17.66,24.97,104,0.15,No action needed,0
1/8/2023 16:00,24.15,31.38,114,0.2,Reduce HVAC cooling to save energy.,0.24
1/8/2023 17:00,23.15,31.8,38,0.26,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.72
1/8/2023 18:00,14.18,18.21,46,0.28,Shift heavy operations to off-peak hours.,0.28
1/8/2023 19:00,20.72,21.98,66,0.23,Shift heavy operations to off-peak hours.,0.33
1/8/2023 20:00,9.58,17.83,18,0.22,Shift heavy operations to off-peak hours.,0.15
1/8/2023 21:00,12.51,16.98,135,0.11,No action needed,0
1/8/2023 22:00,12.5,22.79,7,0.17,Turn off unnecessary lights in unoccupied areas.,0.06
1/8/2023 23:00,17.12,31.07,27,0.27,Shift heavy operations to off-peak hours.,0.32
1/9/2023 0:00,23.54,28.33,64,0.25,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.71
1/9/2023 1:00,14.49,28.38,86,0.25,Shift heavy operations to off-peak hours.,0.25
1/9/2023 2:00,14.53,28.53,114,0.2,No action needed,0
1/9/2023 3:00,12.86,22.68,134,0.23,Shift heavy operations to off-peak hours.,0.21
1/9/2023 4:00,10.21,18.58,59,0.15,No action needed,0
1/9/2023 5:00,6.64,18.78,97,0.29,Shift heavy operations to off-peak hours.,0.13
1/9/2023 6:00,24.44,22.34,66,0.25,Shift heavy operations to off-peak hours.,0.43
1/9/2023 7:00,20.75,32.92,85,0.24,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.8
1/9/2023 8:00,22.29,25.8,134,0.11,Reduce HVAC cooling to save energy.,0.12
1/9/2023 9:00,15.72,15.7,20,0.22,Shift heavy operations to off-peak hours.,0.24
1/9/2023 10:00,15.49,22.16,61,0.28,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.48
1/9/2023 11:00,10.31,25.54,38,0.26,Shift heavy operations to off-peak hours.,0.19
1/9/2023 12:00,21.82,24.73,146,0.29,Shift heavy operations to off-peak hours.,0.44
1/9/2023 13:00,20.89,31.42,127,0.29,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.73
1/9/2023 14:00,8.23,32.05,48,0.24,Shift heavy operations to off-peak hours.,0.14
1/9/2023 15:00,9.54,24.02,78,0.27,Shift heavy operations to off-peak hours.,0.18
1/9/2023 16:00,24.68,25.84,14,0.15,Reduce HVAC cooling to save energy.,0.19
1/9/2023 17:00,12.01,34.48,56,0.16,No action needed,0
1/9/2023 18:00,9.81,28.9,92,0.1,No action needed,0
1/9/2023 19:00,19.28,26.86,38,0.14,No action needed,0
1/9/2023 20:00,23.48,29.11,26,0.26,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.73
1/9/2023 21:00,9.67,34.09,111,0.28,Shift heavy operations to off-peak hours.,0.19
1/9/2023 22:00,23.8,19.07,62,0.29,Shift heavy operations to off-peak hours.,0.48
1/9/2023 23:00,16.38,32.69,89,0.13,No action needed,0
1/10/2023 0:00,14.43,34.93,85,0.25,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.4
1/10/2023 1:00,14.82,21.66,57,0.15,No action needed,0
1/10/2023 2:00,19.22,25.52,37,0.14,No action needed,0
1/10/2023 3:00,16.18,17.44,134,0.19,Investigate devices left on overnight.,0.12
1/10/2023 4:00,16.2,28.59,41,0.23,Shift heavy operations to off-peak hours.,0.26
1/10/2023 5:00,7.54,15.17,45,0.18,No action needed,0
1/10/2023 6:00,6.36,17.48,61,0.29,Shift heavy operations to off-peak hours.,0.13
1/10/2023 7:00,8.75,21.71,78,0.2,No action needed,0
1/10/2023 8:00,11.52,28.23,40,0.1,No action needed,0
1/10/2023 9:00,19.98,18.55,126,0.2,No action needed,0
1/10/2023 10:00,8,28.69,32,0.25,Shift heavy operations to off-peak hours.,0.14
1/10/2023 11:00,15.41,19.95,117,0.23,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.39
1/10/2023 12:00,20.79,16.77,43,0.2,No action needed,0
1/10/2023 13:00,14.38,23.73,6,0.24,Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.35
1/10/2023 14:00,11.73,29.47,27,0.29,Shift heavy operations to off-peak hours.,0.24
1/10/2023 15:00,18.51,26.27,67,0.2,No action needed,0
1/10/2023 16:00,15.01,21.14,55,0.16,No action needed,0
1/10/2023 17:00,9.33,24.38,22,0.3,Shift heavy operations to off-peak hours.,0.2
1/10/2023 18:00,24.88,29.44,44,0.17,Reduce HVAC cooling to save energy.,0.21
1/10/2023 19:00,16.11,34.1,149,0.19,Investigate devices left on overnight.,0.12
1/10/2023 20:00,9.46,16.83,112,0.25,Shift heavy operations to off-peak hours.,0.17
1/10/2023 21:00,17.86,27.6,100,0.23,Shift heavy operations to off-peak hours.,0.29
1/10/2023 22:00,18.4,22.7,112,0.12,No action needed,0
1/10/2023 23:00,19.69,28.06,24,0.23,Shift heavy operations to off-peak hours.,0.32
1/11/2023 0:00,11.08,25.75,43,0.11,No action needed,0
1/11/2023 1:00,12.01,18.11,42,0.25,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.33
1/11/2023 2:00,13.39,32.49,94,0.29,Shift heavy operations to off-peak hours.,0.27
1/11/2023 3:00,10.87,21.36,107,0.11,No action needed,0
1/11/2023 4:00,23.94,16.01,35,0.15,No action needed,0
1/11/2023 5:00,18.36,16.16,94,0.13,No action needed,0
1/11/2023 6:00,6.37,27.4,148,0.14,No action needed,0
1/11/2023 7:00,8.46,17.04,31,0.21,Shift heavy operations to off-peak hours.,0.12
1/11/2023 8:00,13.11,19.01,40,0.19,No action needed,0
1/11/2023 9:00,20.04,26.13,25,0.11,Reduce HVAC cooling to save energy.,0.11
1/11/2023 10:00,13.04,17.84,89,0.2,No action needed,0
1/11/2023 11:00,16.36,23.82,61,0.25,Shift heavy operations to off-peak hours.,0.29
1/11/2023 12:00,11.68,15.68,140,0.17,No action needed,0
1/11/2023 13:00,22.54,20.19,95,0.19,No action needed,0
1/11/2023 14:00,20.07,26.87,96,0.13,Reduce HVAC cooling to save energy.,0.13
1/11/2023 15:00,18.63,17.01,112,0.27,Shift heavy operations to off-peak hours.,0.35
1/11/2023 16:00,19.9,20.29,24,0.24,Shift heavy operations to off-peak hours.,0.33
1/11/2023 17:00,7.97,22.13,103,0.17,No action needed,0
1/11/2023 18:00,13.13,26.95,47,0.29,Shift heavy operations to off-peak hours.,0.27
1/11/2023 19:00,22.19,33.66,135,0.1,Reduce HVAC cooling to save energy.,0.11
1/11/2023 20:00,13.8,27.75,129,0.17,No action needed,0
1/11/2023 21:00,23.51,30.87,125,0.17,Reduce HVAC cooling to save energy.,0.2
1/11/2023 22:00,17.53,30.72,124,0.15,No action needed,0
1/11/2023 23:00,20.76,21.37,144,0.1,No action needed,0
1/12/2023 0:00,20.35,31.5,118,0.11,Reduce HVAC cooling to save energy.,0.11
1/12/2023 1:00,18.92,20.29,64,0.16,No action needed,0
1/12/2023 2:00,18.18,21.1,38,0.19,No action needed,0
1/12/2023 3:00,23.33,25.69,31,0.2,Reduce HVAC cooling to save energy.,0.23
1/12/2023 4:00,20.28,25.1,82,0.21,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.68
1/12/2023 5:00,20.55,21.76,105,0.12,No action needed,0
1/12/2023 6:00,15.26,22.15,58,0.2,No action needed,0
1/12/2023 7:00,24.63,31.08,96,0.3,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,1.18
1/12/2023 8:00,5.37,21.74,70,0.14,No action needed,0
1/12/2023 9:00,22.16,32.53,78,0.15,Reduce HVAC cooling to save energy.,0.17
1/12/2023 10:00,6.27,28.52,140,0.1,No action needed,0
1/12/2023 11:00,20.4,18.3,146,0.21,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.47
1/12/2023 12:00,18.95,27.78,71,0.29,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.6
1/12/2023 13:00,13.53,27.2,23,0.26,Shift heavy operations to off-peak hours.,0.25
1/12/2023 14:00,20.51,21.69,78,0.16,No action needed,0
1/12/2023 15:00,11.81,26.4,12,0.2,No action needed,0
1/12/2023 16:00,16.88,30.74,148,0.13,No action needed,0
1/12/2023 17:00,9.15,24.81,20,0.19,No action needed,0
1/12/2023 18:00,13.9,33.09,45,0.16,No action needed,0
1/12/2023 19:00,20.43,15,39,0.15,No action needed,0
1/12/2023 20:00,24.58,27.99,8,0.1,Reduce HVAC cooling to save energy.; Turn off unnecessary lights in unoccupied areas.,0.2
1/12/2023 21:00,7.84,18.11,43,0.19,No action needed,0
1/12/2023 22:00,6.91,24.64,117,0.24,Shift heavy operations to off-peak hours.,0.12
1/12/2023 23:00,12.39,22.23,30,0.17,No action needed,0
1/13/2023 0:00,17.76,33.38,79,0.22,Shift heavy operations to off-peak hours.,0.27
1/13/2023 1:00,6.09,24.1,92,0.27,Shift heavy operations to off-peak hours.,0.12
1/13/2023 2:00,10.1,31.68,67,0.28,Shift heavy operations to off-peak hours.,0.2
1/13/2023 3:00,17.4,28.1,108,0.25,Shift heavy operations to off-peak hours.,0.3
1/13/2023 4:00,24.63,17.48,70,0.19,Investigate devices left on overnight.,0.19
1/13/2023 5:00,13.92,17.19,59,0.2,No action needed,0
1/13/2023 6:00,22.25,17.64,66,0.2,Investigate devices left on overnight.,0.18
1/13/2023 7:00,14.86,25.81,10,0.21,Shift heavy operations to off-peak hours.,0.22
1/13/2023 8:00,7.94,28.54,46,0.17,No action needed,0
1/13/2023 9:00,13.79,19.53,101,0.18,No action needed,0
1/13/2023 10:00,20.33,32.17,54,0.3,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.73
1/13/2023 11:00,11.63,17.56,83,0.24,Shift heavy operations to off-peak hours.,0.2
1/13/2023 12:00,7.87,28.01,62,0.23,Shift heavy operations to off-peak hours.,0.13
1/13/2023 13:00,7.8,20.68,14,0.28,Shift heavy operations to off-peak hours.,0.15
1/13/2023 14:00,14.58,21.97,5,0.12,Turn off unnecessary lights in unoccupied areas.,0.05
1/13/2023 15:00,23.52,32.9,68,0.17,Reduce HVAC cooling to save energy.,0.2
1/13/2023 16:00,22.9,28.58,85,0.1,Reduce HVAC cooling to save energy.,0.11
1/13/2023 17:00,10.35,20.06,62,0.3,Shift heavy operations to off-peak hours.,0.22
1/13/2023 18:00,7.96,23.77,136,0.18,No action needed,0
1/13/2023 19:00,6.63,16.57,10,0.19,No action needed,0
1/13/2023 20:00,16.26,26.67,91,0.15,No action needed,0
1/13/2023 21:00,13.1,32.33,150,0.23,Shift heavy operations to off-peak hours.,0.21
1/13/2023 22:00,17.75,34.92,42,0.29,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.57
1/13/2023 23:00,21.09,19.14,46,0.16,Investigate devices left on overnight.,0.13
1/14/2023 0:00,9.51,15.98,76,0.17,No action needed,0
1/14/2023 1:00,10.44,30.87,140,0.2,No action needed,0
1/14/2023 2:00,22.75,15.93,60,0.17,No action needed,0
1/14/2023 3:00,15.31,23.86,99,0.27,Shift heavy operations to off-peak hours.,0.29
1/14/2023 4:00,15.25,24.36,146,0.17,Investigate devices left on overnight.,0.1
1/14/2023 5:00,12.37,22.75,98,0.22,Shift heavy operations to off-peak hours.,0.19
1/14/2023 6:00,9.31,20.46,91,0.27,Shift heavy operations to off-peak hours.,0.18
1/14/2023 7:00,11.06,27.72,72,0.13,No action needed,0
1/14/2023 8:00,22.92,19.9,131,0.17,No action needed,0
1/14/2023 9:00,16.5,28.97,89,0.29,Shift heavy operations to off-peak hours.,0.33
1/14/2023 10:00,5.19,20.07,11,0.24,Shift heavy operations to off-peak hours.,0.09
1/14/2023 11:00,20.99,33.91,28,0.18,Reduce HVAC cooling to save energy.,0.19
1/14/2023 12:00,22.07,20.15,128,0.22,Shift heavy operations to off-peak hours.,0.34
1/14/2023 13:00,16.56,17.16,140,0.29,Shift heavy operations to off-peak hours.,0.34
