,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh),Timestamp
76,Winter,9.26,30.39,16.92,655.11,33,0.29,15.24,2023-01-04 04:00:00
77,Winter,9.31,66.38,15.03,517.45,50,0.29,18.18,2023-01-04 05:00:00
78,Winter,8.04,50.43,14.9,218.75,47,0.21,14.62,2023-01-04 06:00:00
79,Winter,-0.72,35.93,7.72,61.91,39,0.22,16.36,2023-01-04 07:00:00
80,Winter,0.33,45.89,0.87,168.3,26,0.22,13.71,2023-01-04 08:00:00
81,Winter,-1.7,36.29,13.67,96.3,17,0.23,19.63,2023-01-04 09:00:00
82,Winter,0.86,34.85,15.61,912.44,46,0.12,12.58,2023-01-04 10:00:00
83,Winter,-0.32,36.41,5.8,28.77,5,0.11,22.2,2023-01-04 11:00:00
84,Winter,8.69,39.99,18.38,144.02,40,0.11,12.86,2023-01-04 12:00:00
85,Winter,8.5,37.79,14.42,5.98,29,0.13,9.45,2023-01-04 13:00:00
86,Winter,0.98,38.72,18.96,293.09,18,0.06,17.48,2023-01-04 14:00:00
87,Winter,3.24,38.59,17.62,338.42,26,0.09,20.97,2023-01-04 15:00:00
88,Winter,3.03,64.78,2.7,872.36,6,0.07,9.36,2023-01-04 16:00:00
89,Winter,0.77,75.09,18.7,413.37,24,0.1,21.37,2023-01-04 17:00:00
90,Winter,4.8,30.86,16.76,808.92,29,0.08,11.97,2023-01-04 18:00:00
91,Winter,-4.57,74.44,8.82,140.53,10,0.06,15.52,2023-01-04 19:00:00
92,Winter,4.06,51.01,1.99,801.8,14,0.09,14.69,2023-01-04 20:00:00
93,Winter,-1.45,32.15,1.4,747.4,141,0.16,17.92,2023-01-04 21:00:00
94,Winter,8.39,67.62,13.69,722.64,70,0.22,18.1,2023-01-04 22:00:00
95,Winter,0.32,65.9,5.02,232.31,109,0.22,19.52,2023-01-04 23:00:00
96,Winter,-3.89,77.62,19.44,470.13,167,0.12,19.97,2023-01-05 00:00:00
97,Winter,7.54,63.12,13.19,378.24,145,0.19,17.49,2023-01-05 01:00:00
98,Winter,4.42,42.5,16.38,562.05,91,0.22,21.22,2023-01-05 02:00:00
99,Winter,0.96,38.85,8.92,789.69,97,0.18,17.73,2023-01-05 03:00:00
100,Winter,6.56,76.9,12.83,973.5,131,0.13,13.16,2023-01-05 04:00:00
101,Winter,6.95,33.89,8.92,543.37,90,0.16,13.68,2023-01-05 05:00:00
102,Winter,-2.86,64.19,6.89,498.83,126,0.23,15.78,2023-01-05 06:00:00
103,Winter,3.09,48.3,9.02,79.16,168,0.3,16.73,2023-01-05 07:00:00
104,Winter,-3.45,72.38,15.26,624.21,19,0.11,13.14,2023-01-05 08:00:00
105,Winter,1.31,71.39,15.19,358.13,25,0.12,22.22,2023-01-05 09:00:00
106,Winter,7.03,59.86,18.27,278.62,26,0.14,10.52,2023-01-05 10:00:00
107,Winter,9.18,78.71,9.42,285.23,25,0.11,8.75,2023-01-05 11:00:00
108,Winter,0.93,35.82,2.49,810.32,10,0.07,10.14,2023-01-05 12:00:00
109,Winter,9.05,38.75,19.76,319.52,24,0.15,14.25,2023-01-05 13:00:00
110,Winter,0.61,62.97,18.99,141.33,25,0.1,11.19,2023-01-05 14:00:00
111,Winter,-3.44,38.83,9.79,429.59,19,0.11,22.52,2023-01-05 15:00:00
112,Winter,2.08,36.99,10.18,60.21,9,0.12,16.13,2023-01-05 16:00:00
113,Winter,5.68,44.13,0.52,95.13,25,0.14,11.01,2023-01-05 17:00:00
114,Winter,-4.64,65.04,13.74,244.97,29,0.14,19.88,2023-01-05 18:00:00
115,Winter,8.75,43.11,7.82,922.61,8,0.12,8.37,2023-01-05 19:00:00
116,Winter,4.78,76.79,19.21,593.18,11,0.08,15.63,2023-01-05 20:00:00
117,Winter,0.97,63.51,1.02,195.78,132,0.2,24.38,2023-01-05 21:00:00
118,Winter,9.79,44.01,17.55,138.86,124,0.27,12.27,2023-01-05 22:00:00
119,Winter,4.12,62.92,9.95,629.0,150,0.18,13.21,2023-01-05 23:00:00
120,Winter,9.37,45.77,2.0,456.68,187,0.17,20.59,2023-01-06 00:00:00
121,Winter,4.44,59.97,13.51,797.47,113,0.29,18.13,2023-01-06 01:00:00
122,Winter,7.03,65.88,6.54,835.57,128,0.26,20.19,2023-01-06 02:00:00
123,Winter,2.37,33.23,0.34,795.19,114,0.18,17.5,2023-01-06 03:00:00
124,Winter,1.92,58.77,6.42,251.52,145,0.18,24.79,2023-01-06 04:00:00
125,Winter,-0.39,61.35,8.23,327.1,152,0.1,14.35,2023-01-06 05:00:00
126,Winter,2.9,78.14,16.24,662.59,116,0.18,19.94,2023-01-06 06:00:00
127,Winter,3.21,62.7,14.79,644.25,129,0.27,20.07,2023-01-06 07:00:00
128,Winter,5.72,58.85,13.77,208.61,17,0.16,17.6,2023-01-06 08:00:00
129,Winter,2.81,75.25,19.97,180.07,22,0.19,17.78,2023-01-06 09:00:00
130,Winter,0.3,61.87,13.79,721.23,29,0.14,19.61,2023-01-06 10:00:00
131,Winter,6.8,37.91,10.49,938.28,14,0.07,12.22,2023-01-06 11:00:00
132,Winter,6.68,71.09,8.23,86.94,30,0.09,12.03,2023-01-06 12:00:00
133,Winter,8.42,31.39,9.97,597.51,26,0.12,18.86,2023-01-06 13:00:00
134,Winter,5.82,35.03,1.04,897.48,12,0.12,14.15,2023-01-06 14:00:00
135,Winter,2.12,56.04,2.35,903.09,27,0.06,8.95,2023-01-06 15:00:00
136,Winter,-1.76,71.74,15.02,458.31,22,0.07,19.45,2023-01-06 16:00:00
137,Winter,-2.4,41.71,7.0,762.23,14,0.08,19.04,2023-01-06 17:00:00
138,Winter,2.23,45.68,10.76,416.62,25,0.07,18.54,2023-01-06 18:00:00
139,Winter,2.98,57.63,12.96,915.97,15,0.12,15.78,2023-01-06 19:00:00
140,Winter,-1.48,75.06,0.72,996.57,20,0.08,9.63,2023-01-06 20:00:00
141,Winter,-2.26,60.43,7.22,168.09,144,0.26,18.41,2023-01-06 21:00:00
142,Winter,6.56,72.9,2.63,569.14,130,0.24,13.86,2023-01-06 22:00:00
143,Winter,8.42,53.77,8.88,613.28,173,0.23,15.13,2023-01-06 23:00:00
144,Winter,-2.52,30.42,9.07,711.14,150,0.19,22.25,2023-01-07 00:00:00
145,Winter,5.43,64.36,16.62,118.27,113,0.26,15.58,2023-01-07 01:00:00
146,Winter,-1.61,73.74,5.48,892.58,196,0.14,14.66,2023-01-07 02:00:00
147,Winter,3.29,33.29,1.3,563.83,199,0.2,20.06,2023-01-07 03:00:00
148,Winter,-2.96,66.79,0.05,724.43,170,0.3,19.72,2023-01-07 04:00:00
149,Winter,2.36,78.12,5.22,228.54,84,0.27,15.95,2023-01-07 05:00:00
150,Winter,4.89,66.17,15.92,496.11,167,0.17,21.7,2023-01-07 06:00:00
151,Winter,-1.71,47.08,15.89,322.14,153,0.26,22.02,2023-01-07 07:00:00
152,Winter,9.75,44.53,12.78,510.45,12,0.29,9.79,2023-01-07 08:00:00
153,Winter,4.55,58.8,18.39,611.85,15,0.28,18.15,2023-01-07 09:00:00
154,Winter,8.31,55.71,14.89,682.31,23,0.11,15.93,2023-01-07 10:00:00
155,Winter,4.14,69.08,16.0,502.73,26,0.14,17.25,2023-01-07 11:00:00
156,Winter,1.79,72.36,7.88,795.05,18,0.05,14.71,2023-01-07 12:00:00
157,Winter,-4.91,50.59,12.71,123.51,18,0.14,20.37,2023-01-07 13:00:00
158,Winter,6.8,34.32,16.81,741.79,16,0.07,18.28,2023-01-07 14:00:00
159,Winter,-3.0,41.6,18.03,437.07,20,0.1,13.72,2023-01-07 15:00:00
160,Winter,5.29,79.46,2.91,214.32,13,0.11,14.18,2023-01-07 16:00:00
161,Winter,-2.12,59.93,18.32,801.41,30,0.11,18.55,2023-01-07 17:00:00
162,Winter,-3.93,39.05,1.35,35.25,7,0.12,12.36,2023-01-07 18:00:00
163,Winter,6.05,60.11,8.88,271.36,11,0.14,9.58,2023-01-07 19:00:00
164,Winter,-0.68,64.58,0.59,974.44,21,0.09,10.72,2023-01-07 20:00:00
165,Winter,-4.89,53.89,16.51,557.53,169,0.17,20.92,2023-01-07 21:00:00
166,Winter,8.7,39.46,4.07,97.06,158,0.15,24.23,2023-01-07 22:00:00
167,Winter,7.07,68.2,18.59,889.11,90,0.16,16.79,2023-01-07 23:00:00
168,Winter,5.91,40.66,19.84,155.75,93,0.11,19.91,2023-01-08 00:00:00
169,Winter,-2.99,34.34,6.63,394.19,103,0.24,14.08,2023-01-08 01:00:00
170,Winter,3.83,58.89,9.14,402.15,105,0.27,13.96,2023-01-08 02:00:00
171,Winter,5.95,30.41,5.59,29.72,102,0.25,17.92,2023-01-08 03:00:00
172,Winter,-4.36,42.04,2.59,364.89,196,0.17,20.84,2023-01-08 04:00:00
173,Winter,-2.07,49.74,1.0,18.82,71,0.13,16.72,2023-01-08 05:00:00
174,Winter,3.98,62.48,1.86,492.74,157,0.22,16.48,2023-01-08 06:00:00
175,Winter,0.45,48.65,8.64,700.93,130,0.12,21.36,2023-01-08 07:00:00
176,Winter,-2.22,66.96,14.32,569.14,21,0.2,19.35,2023-01-08 08:00:00
177,Winter,3.86,74.21,16.38,936.08,18,0.28,16.26,2023-01-08 09:00:00
178,Winter,5.67,70.26,11.59,997.67,13,0.09,10.06,2023-01-08 10:00:00
179,Winter,-1.24,58.25,11.33,157.45,29,0.07,12.45,2023-01-08 11:00:00
180,Winter,9.04,77.99,14.11,548.12,12,0.07,13.9,2023-01-08 12:00:00
181,Winter,-2.26,58.34,2.4,448.49,10,0.14,16.79,2023-01-08 13:00:00
182,Winter,-1.33,62.7,18.38,1.27,20,0.11,17.06,2023-01-08 14:00:00
183,Winter,-2.69,34.92,14.05,82.22,14,0.14,14.96,2023-01-08 15:00:00
184,Winter,9.01,58.07,12.77,639.12,15,0.14,9.39,2023-01-08 16:00:00
185,Winter,-2.14,56.42,12.06,511.32,28,0.13,19.11,2023-01-08 17:00:00
186,Winter,0.62,41.82,19.91,575.54,26,0.1,17.61,2023-01-08 18:00:00
187,Winter,6.62,66.77,12.15,475.78,29,0.06,9.73,2023-01-08 19:00:00
188,Winter,1.91,43.09,4.23,139.2,28,0.14,15.06,2023-01-08 20:00:00
189,Winter,8.95,62.13,6.45,278.18,191,0.21,22.0,2023-01-08 21:00:00
190,Winter,-2.22,35.31,19.15,576.32,86,0.29,21.48,2023-01-08 22:00:00
191,Winter,4.0,46.1,9.8,195.47,74,0.27,12.96,2023-01-08 23:00:00
192,Winter,-3.29,41.55,9.25,270.21,91,0.21,20.35,2023-01-09 00:00:00
193,Winter,7.56,37.09,1.75,739.01,178,0.2,15.74,2023-01-09 01:00:00
194,Winter,2.68,42.95,4.8,156.14,150,0.21,18.65,2023-01-09 02:00:00
195,Winter,7.36,69.22,11.98,409.49,51,0.16,20.61,2023-01-09 03:00:00
196,Winter,8.52,69.58,5.44,514.98,111,0.19,18.66,2023-01-09 04:00:00
197,Winter,2.13,51.81,12.77,400.23,65,0.23,12.53,2023-01-09 05:00:00
198,Winter,-2.66,57.64,8.02,651.72,189,0.29,22.2,2023-01-09 06:00:00
199,Winter,-3.7,65.51,18.23,266.25,118,0.3,16.31,2023-01-09 07:00:00
200,Winter,8.59,32.77,0.3,544.06,7,0.24,18.11,2023-01-09 08:00:00
201,Winter,-4.01,62.75,0.92,465.66,10,0.11,22.16,2023-01-09 09:00:00
202,Winter,4.63,36.54,13.54,997.49,20,0.07,11.83,2023-01-09 10:00:00
203,Winter,4.06,71.29,13.18,102.51,5,0.12,21.38,2023-01-09 11:00:00
204,Winter,9.5,33.37,5.43,644.12,22,0.13,11.22,2023-01-09 12:00:00
205,Winter,8.62,72.31,10.69,241.27,21,0.12,10.71,2023-01-09 13:00:00
206,Winter,4.37,36.44,1.15,24.32,22,0.09,14.71,2023-01-09 14:00:00
207,Winter,-3.39,41.11,0.36,961.99,14,0.14,19.07,2023-01-09 15:00:00
208,Winter,-3.28,70.37,18.33,134.37,35,0.12,22.31,2023-01-09 16:00:00
209,Winter,5.96,44.22,8.28,248.81,6,0.1,16.21,2023-01-09 17:00:00
210,Winter,-0.72,31.04,7.09,706.83,49,0.06,17.85,2023-01-09 18:00:00
211,Winter,0.95,56.31,8.24,598.81,7,0.1,20.62,2023-01-09 19:00:00
212,Winter,2.4,73.33,3.28,156.41,19,0.13,18.96,2023-01-09 20:00:00
213,Winter,4.94,54.84,16.35,632.84,10,0.16,17.26,2023-01-09 21:00:00
214,Winter,7.89,54.14,14.68,910.77,41,0.15,18.57,2023-01-09 22:00:00
215,Winter,3.81,68.8,4.14,784.33,40,0.19,17.96,2023-01-09 23:00:00
216,Winter,6.81,74.99,16.88,381.7,36,0.28,17.68,2023-01-10 00:00:00
217,Winter,-4.05,40.59,5.14,387.77,24,0.23,17.54,2023-01-10 01:00:00
218,Winter,7.45,33.2,4.82,772.01,13,0.2,10.75,2023-01-10 02:00:00
219,Winter,5.51,63.48,6.0,860.44,49,0.28,10.88,2023-01-10 03:00:00
220,Winter,0.93,54.18,11.74,39.03,12,0.24,19.37,2023-01-10 04:00:00
221,Winter,4.25,35.37,1.86,849.7,25,0.27,19.42,2023-01-10 05:00:00
222,Winter,4.69,58.13,17.1,572.71,5,0.29,15.14,2023-01-10 06:00:00
223,Winter,-3.96,58.54,19.25,404.37,39,0.22,16.5,2023-01-10 07:00:00
224,Winter,7.06,36.11,11.01,797.88,31,0.27,17.83,2023-01-10 08:00:00
225,Winter,7.46,58.13,1.62,445.14,21,0.19,10.55,2023-01-10 09:00:00
226,Winter,-4.03,59.95,10.01,769.17,7,0.12,11.96,2023-01-10 10:00:00
227,Winter,-0.45,57.58,6.95,4.96,44,0.11,22.13,2023-01-10 11:00:00
228,Winter,-3.88,56.24,3.22,283.64,32,0.06,19.13,2023-01-10 12:00:00
229,Winter,-2.16,79.63,9.13,309.89,28,0.06,21.54,2023-01-10 13:00:00
230,Winter,2.12,59.61,8.64,692.78,41,0.06,21.16,2023-01-10 14:00:00
231,Winter,-2.63,57.36,6.99,397.6,28,0.13,14.06,2023-01-10 15:00:00
232,Winter,2.77,45.63,12.23,814.21,44,0.09,14.8,2023-01-10 16:00:00
233,Winter,7.99,30.8,9.94,217.88,43,0.1,10.98,2023-01-10 17:00:00
234,Winter,2.72,43.09,5.83,41.08,33,0.14,15.73,2023-01-10 18:00:00
235,Winter,7.15,61.14,7.13,208.76,44,0.08,15.42,2023-01-10 19:00:00
236,Winter,7.46,65.9,13.22,971.49,8,0.11,14.17,2023-01-10 20:00:00
237,Winter,4.54,35.07,15.52,25.14,9,0.24,20.84,2023-01-10 21:00:00
238,Winter,-4.55,63.65,6.24,926.96,47,0.21,15.48,2023-01-10 22:00:00
239,Winter,7.54,77.24,13.94,845.09,45,0.13,13.07,2023-01-10 23:00:00
240,Winter,4.78,69.71,7.77,24.41,11,0.14,11.83,2023-01-11 00:00:00
241,Winter,6.12,75.61,17.43,250.64,48,0.19,20.29,2023-01-11 01:00:00
242,Winter,4.32,48.0,7.98,557.26,45,0.19,14.85,2023-01-11 02:00:00
243,Winter,-4.81,77.14,13.01,173.15,30,0.12,16.0,2023-01-11 03:00:00
244,Winter,-1.44,73.42,13.78,977.24,19,0.12,13.4,2023-01-11 04:00:00
245,Winter,7.03,55.32,18.46,241.37,6,0.11,11.26,2023-01-11 05:00:00
246,Winter,-1.42,59.94,18.39,982.75,21,0.22,20.18,2023-01-11 06:00:00
247,Winter,-4.65,41.18,18.04,360.53,25,0.15,18.41,2023-01-11 07:00:00
248,Winter,5.22,62.52,8.63,606.3,42,0.21,12.45,2023-01-11 08:00:00
249,Winter,-4.19,41.67,3.79,626.0,22,0.28,20.01,2023-01-11 09:00:00
250,Winter,-4.75,52.11,1.31,662.65,33,0.13,19.74,2023-01-11 10:00:00
251,Winter,-1.12,40.61,9.31,845.27,39,0.06,18.75,2023-01-11 11:00:00
252,Winter,5.25,36.83,12.34,890.78,43,0.08,9.78,2023-01-11 12:00:00
253,Winter,2.53,50.31,7.09,592.56,6,0.1,11.71,2023-01-11 13:00:00
254,Winter,3.97,55.08,3.03,792.42,10,0.07,17.0,2023-01-11 14:00:00
255,Winter,9.77,69.77,17.52,595.73,21,0.08,15.42,2023-01-11 15:00:00
256,Winter,-3.55,65.88,3.85,967.7,9,0.11,12.94,2023-01-11 16:00:00
257,Winter,7.85,58.61,14.51,366.32,19,0.09,8.87,2023-01-11 17:00:00
258,Winter,-3.02,39.15,18.5,825.21,6,0.09,20.16,2023-01-11 18:00:00
259,Winter,-4.39,50.96,14.92,150.85,22,0.08,12.28,2023-01-11 19:00:00
260,Winter,5.43,53.33,11.05,641.17,14,0.15,11.95,2023-01-11 20:00:00
261,Winter,-2.69,42.61,6.22,905.35,164,0.16,16.71,2023-01-11 21:00:00
262,Winter,9.12,38.94,0.7,903.99,104,0.23,15.89,2023-01-11 22:00:00
263,Winter,8.6,79.24,13.35,123.51,142,0.28,18.02,2023-01-11 23:00:00
264,Winter,1.58,51.34,0.82,694.0,79,0.15,20.61,2023-01-12 00:00:00
265,Winter,-1.95,38.0,3.75,651.97,185,0.19,14.42,2023-01-12 01:00:00
266,Winter,1.8,65.61,7.22,531.29,165,0.24,18.94,2023-01-12 02:00:00
267,Winter,-0.45,51.11,17.87,292.62,72,0.16,16.95,2023-01-12 03:00:00
268,Winter,1.84,77.83,13.31,719.32,100,0.13,20.21,2023-01-12 04:00:00
269,Winter,-4.06,38.88,0.47,11.09,165,0.14,24.73,2023-01-12 05:00:00
270,Winter,-3.0,43.8,17.72,743.59,56,0.21,17.62,2023-01-12 06:00:00
271,Winter,-1.77,36.03,12.64,209.24,193,0.14,19.06,2023-01-12 07:00:00
272,Winter,3.32,60.55,6.62,873.02,25,0.13,18.69,2023-01-12 08:00:00
273,Winter,2.91,38.08,9.53,329.53,27,0.21,21.94,2023-01-12 09:00:00
274,Winter,4.11,46.52,14.23,890.68,7,0.12,10.71,2023-01-12 10:00:00
275,Winter,4.29,59.05,14.85,117.23,29,0.14,16.66,2023-01-12 11:00:00
276,Winter,2.62,61.98,5.33,997.72,11,0.11,10.5,2023-01-12 12:00:00
277,Winter,0.01,68.79,10.17,179.44,20,0.08,15.3,2023-01-12 13:00:00
278,Winter,-2.21,73.69,6.62,658.91,26,0.14,13.56,2023-01-12 14:00:00
279,Winter,-3.2,47.87,7.63,420.99,30,0.12,22.14,2023-01-12 15:00:00
280,Winter,9.69,30.17,9.89,638.82,17,0.13,15.49,2023-01-12 16:00:00
281,Winter,5.65,44.59,17.58,769.69,30,0.09,16.36,2023-01-12 17:00:00
282,Winter,4.55,38.68,8.45,901.14,19,0.14,10.22,2023-01-12 18:00:00
283,Winter,1.3,33.82,11.8,402.73,26,0.14,14.31,2023-01-12 19:00:00
284,Winter,-3.05,49.38,15.07,728.5,20,0.12,10.76,2023-01-12 20:00:00
285,Winter,7.14,53.95,3.6,790.12,144,0.28,16.92,2023-01-12 21:00:00
286,Winter,2.92,47.95,14.24,303.59,190,0.14,16.35,2023-01-12 22:00:00
287,Winter,3.94,58.29,12.05,406.52,140,0.16,18.28,2023-01-12 23:00:00
288,Winter,-3.07,69.83,19.87,582.78,71,0.29,23.14,2023-01-13 00:00:00
289,Winter,-3.65,53.93,7.17,358.21,156,0.1,21.33,2023-01-13 01:00:00
290,Winter,-4.88,57.53,8.13,584.64,98,0.19,15.64,2023-01-13 02:00:00
291,Winter,8.21,52.02,16.1,73.58,112,0.13,17.45,2023-01-13 03:00:00
292,Winter,-2.85,50.07,4.5,653.58,170,0.27,19.13,2023-01-13 04:00:00
293,Winter,8.99,61.14,9.43,714.52,93,0.12,9.43,2023-01-13 05:00:00
294,Winter,5.54,63.51,17.77,758.99,166,0.16,17.06,2023-01-13 06:00:00
295,Winter,-4.61,52.18,9.49,727.23,197,0.22,24.73,2023-01-13 07:00:00
296,Winter,0.71,33.61,1.62,833.06,30,0.25,16.3,2023-01-13 08:00:00
297,Winter,2.53,69.23,19.58,393.59,28,0.27,13.5,2023-01-13 09:00:00
298,Winter,7.86,74.93,19.16,814.04,9,0.14,17.02,2023-01-13 10:00:00
299,Winter,6.78,63.01,13.19,18.4,21,0.07,18.74,2023-01-13 11:00:00
300,Winter,7.88,66.94,16.99,359.85,18,0.09,16.53,2023-01-13 12:00:00
301,Winter,6.26,37.38,9.9,422.53,16,0.11,15.59,2023-01-13 13:00:00
302,Winter,-2.78,37.91,0.42,958.39,10,0.12,17.5,2023-01-13 14:00:00
303,Winter,8.25,62.73,10.21,859.32,21,0.11,19.25,2023-01-13 15:00:00
304,Winter,4.0,59.02,12.76,573.32,19,0.06,11.08,2023-01-13 16:00:00
