,Timestamp,Energy Consumption (kWh),Temperature (°C),Building Occupancy,Energy Tariff ($/kWh)
79,1/4/2023 7:00,19.17,15.15,123.0,0.19
80,1/4/2023 8:00,16.89,28.78,31.0,0.24
81,1/4/2023 9:00,10.01,21.24,28.0,0.29
82,1/4/2023 10:00,12.61,27.52,95.0,0.13
83,1/4/2023 11:00,14.04,15.74,106.0,0.22
84,1/4/2023 12:00,17.46,31.99,63.0,0.15
85,1/4/2023 13:00,24.8,34.24,104.0,0.22
86,1/4/2023 14:00,18.03,27.58,56.0,0.25
87,1/4/2023 15:00,12.38,19.15,69.0,0.16
88,1/4/2023 16:00,18.14,30.81,13.0,0.27
89,1/4/2023 17:00,21.77,20.15,130.0,0.18
90,1/4/2023 18:00,12.37,32.56,100.0,0.2
91,1/4/2023 19:00,13.36,26.88,132.0,0.14
92,1/4/2023 20:00,11.31,26.08,93.0,0.17
93,1/4/2023 21:00,12.56,33.7,79.0,0.26
94,1/4/2023 22:00,18.11,30.07,80.0,0.19
95,1/4/2023 23:00,17.16,26.09,98.0,0.25
96,1/5/2023 0:00,16.44,19.36,118.0,0.17
97,1/5/2023 1:00,23.65,20.31,43.0,0.23
98,1/5/2023 2:00,13.43,18.72,94.0,0.14
99,1/5/2023 3:00,19.47,16.82,37.0,0.19
100,1/5/2023 4:00,6.93,17.78,127.0,0.12
101,1/5/2023 5:00,23.09,18.99,100.0,0.29
102,1/5/2023 6:00,19.76,15.98,65.0,0.18
103,1/5/2023 7:00,5.19,28.95,80.0,0.26
104,1/5/2023 8:00,6.34,23.07,34.0,0.15
105,1/5/2023 9:00,22.15,34.11,20.0,0.26
106,1/5/2023 10:00,7.78,26.14,134.0,0.16
107,1/5/2023 11:00,5.03,30.51,86.0,0.23
108,1/5/2023 12:00,17.8,25.02,70.0,0.13
109,1/5/2023 13:00,18.53,20.12,44.0,0.22
110,1/5/2023 14:00,16.06,28.13,89.0,0.13
111,1/5/2023 15:00,11.45,15.98,36.0,0.21
112,1/5/2023 16:00,15.21,31.95,150.0,0.28
113,1/5/2023 17:00,14.76,22.08,17.0,0.16
114,1/5/2023 18:00,21.49,23.2,51.0,0.12
115,1/5/2023 19:00,18.15,21.56,144.0,0.16
116,1/5/2023 20:00,23.95,19.93,60.0,0.28
117,1/5/2023 21:00,7.28,28.9,129.0,0.29
118,1/5/2023 22:00,16.23,22.99,63.0,0.2
119,1/5/2023 23:00,8.49,24.36,23.0,0.18
120,1/6/2023 0:00,9.25,19.85,30.0,0.23
121,1/6/2023 1:00,11.0,20.37,95.0,0.18
122,1/6/2023 2:00,7.31,31.84,117.0,0.15
123,1/6/2023 3:00,21.01,16.51,66.0,0.23
124,1/6/2023 4:00,13.83,22.9,36.0,0.22
125,1/6/2023 5:00,15.69,33.05,65.0,0.28
126,1/6/2023 6:00,22.11,24.89,14.0,0.13
127,1/6/2023 7:00,20.36,22.25,61.0,0.27
128,1/6/2023 8:00,10.51,15.97,14.0,0.3
129,1/6/2023 9:00,15.15,23.94,103.0,0.24
130,1/6/2023 10:00,5.26,32.09,105.0,0.26
131,1/6/2023 11:00,24.3,25.64,125.0,0.17
132,1/6/2023 12:00,10.92,17.74,123.0,0.2
133,1/6/2023 13:00,9.47,17.47,6.0,0.15
134,1/6/2023 14:00,16.88,21.13,128.0,0.29
135,1/6/2023 15:00,21.68,21.72,25.0,0.28
136,1/6/2023 16:00,24.12,31.82,91.0,0.29
137,1/6/2023 17:00,12.46,33.71,75.0,0.28
138,1/6/2023 18:00,13.16,30.93,34.0,0.21
139,1/6/2023 19:00,20.26,24.16,119.0,0.23
140,1/6/2023 20:00,6.1,32.28,40.0,0.29
141,1/6/2023 21:00,10.47,29.06,65.0,0.21
142,1/6/2023 22:00,16.59,17.81,113.0,0.3
143,1/6/2023 23:00,19.24,20.1,150.0,0.23
144,1/7/2023 0:00,8.04,22.01,68.0,0.18
145,1/7/2023 1:00,6.11,24.64,58.0,0.27
146,1/7/2023 2:00,13.22,31.92,68.0,0.15
147,1/7/2023 3:00,16.56,30.35,42.0,0.11
148,1/7/2023 4:00,18.64,19.71,123.0,0.18
149,1/7/2023 5:00,16.29,17.49,23.0,0.27
150,1/7/2023 6:00,7.09,15.16,41.0,0.18
151,1/7/2023 7:00,20.28,21.22,131.0,0.12
152,1/7/2023 8:00,23.55,19.99,115.0,0.28
153,1/7/2023 9:00,8.14,17.69,74.0,0.25
154,1/7/2023 10:00,8.99,29.53,119.0,0.21
155,1/7/2023 11:00,23.14,19.54,49.0,0.21
156,1/7/2023 12:00,10.72,24.71,140.0,0.24
157,1/7/2023 13:00,5.77,30.11,36.0,0.13
158,1/7/2023 14:00,13.16,29.86,117.0,0.27
159,1/7/2023 15:00,13.09,33.47,138.0,0.15
160,1/7/2023 16:00,16.47,32.84,54.0,0.1
161,1/7/2023 17:00,13.8,27.89,30.0,0.28
162,1/7/2023 18:00,9.26,33.44,34.0,0.23
163,1/7/2023 19:00,24.81,22.08,21.0,0.18
164,1/7/2023 20:00,15.36,32.65,94.0,0.16
165,1/7/2023 21:00,6.05,23.39,18.0,0.18
166,1/7/2023 22:00,16.0,33.91,32.0,0.28
167,1/7/2023 23:00,14.65,25.36,59.0,0.22
168,1/8/2023 0:00,15.87,24.34,37.0,0.11
169,1/8/2023 1:00,18.3,30.95,60.0,0.22
170,1/8/2023 2:00,15.41,29.39,7.0,0.16
171,1/8/2023 3:00,17.69,21.53,123.0,0.19
172,1/8/2023 4:00,13.71,33.87,19.0,0.23
173,1/8/2023 5:00,7.3,28.25,102.0,0.11
174,1/8/2023 6:00,14.87,18.08,24.0,0.27
175,1/8/2023 7:00,11.64,29.78,84.0,0.23
176,1/8/2023 8:00,6.95,15.9,36.0,0.21
177,1/8/2023 9:00,8.1,33.88,122.0,0.19
178,1/8/2023 10:00,9.76,27.23,96.0,0.12
179,1/8/2023 11:00,5.51,29.0,146.0,0.22
180,1/8/2023 12:00,22.31,20.49,52.0,0.14
181,1/8/2023 13:00,23.04,25.22,81.0,0.13
182,1/8/2023 14:00,5.39,24.33,102.0,0.12
183,1/8/2023 15:00,17.66,24.97,104.0,0.15
184,1/8/2023 16:00,24.15,31.38,114.0,0.2
185,1/8/2023 17:00,23.15,31.8,38.0,0.26
186,1/8/2023 18:00,14.18,18.21,46.0,0.28
187,1/8/2023 19:00,20.72,21.98,66.0,0.23
188,1/8/2023 20:00,9.58,17.83,18.0,0.22
189,1/8/2023 21:00,12.51,16.98,135.0,0.11
190,1/8/2023 22:00,12.5,22.79,7.0,0.17
191,1/8/2023 23:00,17.12,31.07,27.0,0.27
192,1/9/2023 0:00,23.54,28.33,64.0,0.25
193,1/9/2023 1:00,14.49,28.38,86.0,0.25
194,1/9/2023 2:00,14.53,28.53,114.0,0.2
195,1/9/2023 3:00,12.86,22.68,134.0,0.23
196,1/9/2023 4:00,10.21,18.58,59.0,0.15
197,1/9/2023 5:00,6.64,18.78,97.0,0.29
198,1/9/2023 6:00,24.44,22.34,66.0,0.25
199,1/9/2023 7:00,20.75,32.92,85.0,0.24
200,1/9/2023 8:00,22.29,25.8,134.0,0.11
201,1/9/2023 9:00,15.72,15.7,20.0,0.22
202,1/9/2023 10:00,15.49,22.16,61.0,0.28
203,1/9/2023 11:00,10.31,25.54,38.0,0.26
204,1/9/2023 12:00,21.82,24.73,146.0,0.29
205,1/9/2023 13:00,20.89,31.42,127.0,0.29
206,1/9/2023 14:00,8.23,32.05,48.0,0.24
207,1/9/2023 15:00,9.54,24.02,78.0,0.27
208,1/9/2023 16:00,24.68,25.84,14.0,0.15
209,1/9/2023 17:00,12.01,34.48,56.0,0.16
210,1/9/2023 18:00,9.81,28.9,92.0,0.1
211,1/9/2023 19:00,19.28,26.86,38.0,0.14
212,1/9/2023 20:00,23.48,29.11,26.0,0.26
213,1/9/2023 21:00,9.67,34.09,111.0,0.28
214,1/9/2023 22:00,23.8,19.07,62.0,0.29
215,1/9/2023 23:00,16.38,32.69,89.0,0.13
216,1/10/2023 0:00,14.43,34.93,85.0,0.25
217,1/10/2023 1:00,14.82,21.66,57.0,0.15
218,1/10/2023 2:00,19.22,25.52,37.0,0.14
219,1/10/2023 3:00,16.18,17.44,134.0,0.19
220,1/10/2023 4:00,16.2,28.59,41.0,0.23
221,1/10/2023 5:00,7.54,15.17,45.0,0.18
222,1/10/2023 6:00,6.36,17.48,61.0,0.29
223,1/10/2023 7:00,8.75,21.71,78.0,0.2
224,1/10/2023 8:00,11.52,28.23,40.0,0.1
225,1/10/2023 9:00,19.98,18.55,126.0,0.2
226,1/10/2023 10:00,8.0,28.69,32.0,0.25
227,1/10/2023 11:00,15.41,19.95,117.0,0.23
228,1/10/2023 12:00,20.79,16.77,43.0,0.2
229,1/10/2023 13:00,14.38,23.73,6.0,0.24
230,1/10/2023 14:00,11.73,29.47,27.0,0.29
231,1/10/2023 15:00,18.51,26.27,67.0,0.2
232,1/10/2023 16:00,15.01,21.14,55.0,0.16
233,1/10/2023 17:00,9.33,24.38,22.0,0.3
234,1/10/2023 18:00,24.88,29.44,44.0,0.17
235,1/10/2023 19:00,16.11,34.1,149.0,0.19
236,1/10/2023 20:00,9.46,16.83,112.0,0.25
237,1/10/2023 21:00,17.86,27.6,100.0,0.23
238,1/10/2023 22:00,18.4,22.7,112.0,0.12
239,1/10/2023 23:00,19.69,28.06,24.0,0.23
240,1/11/2023 0:00,11.08,25.75,43.0,0.11
241,1/11/2023 1:00,12.01,18.11,42.0,0.25
242,1/11/2023 2:00,13.39,32.49,94.0,0.29
243,1/11/2023 3:00,10.87,21.36,107.0,0.11
244,1/11/2023 4:00,23.94,16.01,35.0,0.15
245,1/11/2023 5:00,18.36,16.16,94.0,0.13
246,1/11/2023 6:00,6.37,27.4,148.0,0.14
247,1/11/2023 7:00,8.46,17.04,31.0,0.21
248,1/11/2023 8:00,13.11,19.01,40.0,0.19
249,1/11/2023 9:00,20.04,26.13,25.0,0.11
250,1/11/2023 10:00,13.04,17.84,89.0,0.2
251,1/11/2023 11:00,16.36,23.82,61.0,0.25
252,1/11/2023 12:00,11.68,15.68,140.0,0.17
253,1/11/2023 13:00,22.54,20.19,95.0,0.19
254,1/11/2023 14:00,20.07,26.87,96.0,0.13
255,1/11/2023 15:00,18.63,17.01,112.0,0.27
256,1/11/2023 16:00,19.9,20.29,24.0,0.24
257,1/11/2023 17:00,7.97,22.13,103.0,0.17
258,1/11/2023 18:00,13.13,26.95,47.0,0.29
259,1/11/2023 19:00,22.19,33.66,135.0,0.1
260,1/11/2023 20:00,13.8,27.75,129.0,0.17
261,1/11/2023 21:00,23.51,30.87,125.0,0.17
262,1/11/2023 22:00,17.53,30.72,124.0,0.15
263,1/11/2023 23:00,20.76,21.37,144.0,0.1
264,1/12/2023 0:00,20.35,31.5,118.0,0.11
265,1/12/2023 1:00,18.92,20.29,64.0,0.16
266,1/12/2023 2:00,18.18,21.1,38.0,0.19
267,1/12/2023 3:00,23.33,25.69,31.0,0.2
268,1/12/2023 4:00,20.28,25.1,82.0,0.21
269,1/12/2023 5:00,20.55,21.76,105.0,0.12
270,1/12/2023 6:00,15.26,22.15,58.0,0.2
271,1/12/2023 7:00,24.63,31.08,96.0,0.3
272,1/12/2023 8:00,5.37,21.74,70.0,0.14
273,1/12/2023 9:00,22.16,32.53,78.0,0.15
274,1/12/2023 10:00,6.27,28.52,140.0,0.1
275,1/12/2023 11:00,20.4,18.3,146.0,0.21
276,1/12/2023 12:00,18.95,27.78,71.0,0.29
277,1/12/2023 13:00,13.53,27.2,23.0,0.26
278,1/12/2023 14:00,20.51,21.69,78.0,0.16
279,1/12/2023 15:00,11.81,26.4,12.0,0.2
280,1/12/2023 16:00,16.88,30.74,148.0,0.13
281,1/12/2023 17:00,9.15,24.81,20.0,0.19
282,1/12/2023 18:00,13.9,33.09,45.0,0.16
283,1/12/2023 19:00,20.43,15.0,39.0,0.15
284,1/12/2023 20:00,24.58,27.99,8.0,0.1
285,1/12/2023 21:00,7.84,18.11,43.0,0.19
286,1/12/2023 22:00,6.91,24.64,117.0,0.24
287,1/12/2023 23:00,12.39,22.23,30.0,0.17
288,1/13/2023 0:00,17.76,33.38,79.0,0.22
289,1/13/2023 1:00,6.09,24.1,92.0,0.27
290,1/13/2023 2:00,10.1,31.68,67.0,0.28
291,1/13/2023 3:00,17.4,28.1,108.0,0.25
292,1/13/2023 4:00,24.63,17.48,70.0,0.19
293,1/13/2023 5:00,13.92,17.19,59.0,0.2
294,1/13/2023 6:00,22.25,17.64,66.0,0.2
295,1/13/2023 7:00,14.86,25.81,10.0,0.21
296,1/13/2023 8:00,7.94,28.54,46.0,0.17
297,1/13/2023 9:00,13.79,19.53,101.0,0.18
298,1/13/2023 10:00,20.33,32.17,54.0,0.3
299,1/13/2023 11:00,11.63,17.56,83.0,0.24
300,1/13/2023 12:00,7.87,28.01,62.0,0.23
301,1/13/2023 13:00,7.8,20.68,14.0,0.28
302,1/13/2023 14:00,14.58,21.97,5.0,0.12
303,1/13/2023 15:00,23.52,32.9,68.0,0.17
304,1/13/2023 16:00,22.9,28.58,85.0,0.1
305,1/13/2023 17:00,10.35,20.06,62.0,0.3
306,1/13/2023 18:00,7.96,23.77,136.0,0.18
307,1/13/2023 19:00,6.63,16.57,10.0,0.19
308,1/13/2023 20:00,16.26,26.67,91.0,0.15
309,1/13/2023 21:00,13.1,32.33,150.0,0.23
310,1/13/2023 22:00,17.75,34.92,42.0,0.29
311,1/13/2023 23:00,21.09,19.14,46.0,0.16
312,1/14/2023 0:00,9.51,15.98,76.0,0.17
313,1/14/2023 1:00,10.44,30.87,140.0,0.2
314,1/14/2023 2:00,22.75,15.93,60.0,0.17
315,1/14/2023 3:00,15.31,23.86,99.0,0.27
316,1/14/2023 4:00,15.25,24.36,146.0,0.17
317,1/14/2023 5:00,12.37,22.75,98.0,0.22
318,1/14/2023 6:00,9.31,20.46,91.0,0.27
319,1/14/2023 7:00,11.06,27.72,72.0,0.13
320,1/14/2023 8:00,22.92,19.9,131.0,0.17
321,1/14/2023 9:00,16.5,28.97,89.0,0.29
322,1/14/2023 10:00,5.19,20.07,11.0,0.24
323,1/14/2023 11:00,20.99,33.91,28.0,0.18
324,1/14/2023 12:00,22.07,20.15,128.0,0.22
325,1/14/2023 13:00,16.56,17.16,140.0,0.29
326,1/14/2023 14:00,7.33,33.95,41.0,0.13
327,1/14/2023 15:00,24.59,21.67,43.0,0.23
328,1/14/2023 16:00,20.34,21.11,117.0,0.12
329,1/14/2023 17:00,22.09,25.0,75.0,0.18
330,1/14/2023 18:00,9.35,23.03,93.0,0.24
331,1/14/2023 19:00,17.32,25.13,95.0,0.28
332,1/14/2023 20:00,16.72,21.87,34.0,0.23
333,1/14/2023 21:00,10.01,32.15,28.0,0.18
334,1/14/2023 22:00,23.3,18.87,87.0,0.13
335,1/14/2023 23:00,9.62,18.59,103.0,0.13
336,1/15/2023 0:00,19.11,17.82,96.0,0.21
337,1/15/2023 1:00,10.18,27.39,112.0,0.29
338,1/15/2023 2:00,7.71,21.82,86.0,0.11
339,1/15/2023 3:00,21.69,24.44,133.0,0.1
340,1/15/2023 4:00,6.41,15.92,133.0,0.29
341,1/15/2023 5:00,18.62,33.77,125.0,0.14
342,1/15/2023 6:00,21.54,15.12,150.0,0.14
343,1/15/2023 7:00,14.59,28.5,61.0,0.21
344,1/15/2023 8:00,16.76,23.51,111.0,0.29
345,1/15/2023 9:00,9.21,17.96,141.0,0.16
346,1/15/2023 10:00,22.61,32.32,13.0,0.13
347,1/15/2023 11:00,23.95,29.12,145.0,0.26
348,1/15/2023 12:00,6.14,33.24,50.0,0.29
349,1/15/2023 13:00,12.12,25.37,39.0,0.19
350,1/15/2023 14:00,12.89,26.08,87.0,0.12
351,1/15/2023 15:00,19.72,18.47,97.0,0.26
352,1/15/2023 16:00,5.76,15.45,66.0,0.27
353,1/15/2023 17:00,8.93,15.83,62.0,0.22
354,1/15/2023 18:00,19.91,31.24,41.0,0.18
355,1/15/2023 19:00,22.6,32.08,106.0,0.26
356,1/15/2023 20:00,8.95,28.57,91.0,0.28
357,1/15/2023 21:00,23.23,18.53,58.0,0.2
358,1/15/2023 22:00,21.3,29.85,17.0,0.23
359,1/15/2023 23:00,13.39,19.39,85.0,0.15
360,1/16/2023 0:00,10.26,15.42,6.0,0.14
361,1/16/2023 1:00,13.17,33.45,22.0,0.21
362,1/16/2023 2:00,11.73,20.07,68.0,0.18
363,1/16/2023 3:00,12.39,28.06,139.0,0.29
364,1/16/2023 4:00,16.25,27.07,16.0,0.13
365,1/16/2023 5:00,23.45,17.24,132.0,0.28
366,1/16/2023 6:00,11.16,27.9,99.0,0.19
367,1/16/2023 7:00,15.47,26.34,65.0,0.17
368,1/16/2023 8:00,15.77,19.02,7.0,0.1
369,1/16/2023 9:00,7.0,25.53,129.0,0.12
370,1/16/2023 10:00,5.34,27.85,51.0,0.15
371,1/16/2023 11:00,11.5,27.18,146.0,0.22
372,1/16/2023 12:00,7.42,21.99,18.0,0.25
373,1/16/2023 13:00,16.65,20.3,139.0,0.18
374,1/16/2023 14:00,24.62,24.42,138.0,0.24
375,1/16/2023 15:00,5.74,21.68,56.0,0.18
376,1/16/2023 16:00,5.24,19.86,30.0,0.22
377,1/16/2023 17:00,11.34,27.69,15.0,0.3
378,1/16/2023 18:00,13.02,30.47,88.0,0.28
379,1/16/2023 19:00,24.99,30.47,56.0,0.19
380,1/16/2023 20:00,22.13,29.72,101.0,0.28
381,1/16/2023 21:00,20.47,33.26,28.0,0.13
382,1/16/2023 22:00,11.71,16.9,136.0,0.14
383,1/16/2023 23:00,19.02,27.72,90.0,0.16
384,1/17/2023 0:00,22.31,24.33,145.0,0.3
385,1/17/2023 1:00,17.11,28.75,48.0,0.17
386,1/17/2023 2:00,20.98,23.08,94.0,0.23
387,1/17/2023 3:00,5.12,18.71,144.0,0.18
388,1/17/2023 4:00,24.26,23.1,5.0,0.13
389,1/17/2023 5:00,17.65,24.44,133.0,0.14
390,1/17/2023 6:00,24.11,28.62,29.0,0.11
391,1/17/2023 7:00,23.48,23.31,121.0,0.22
392,1/17/2023 8:00,5.83,33.32,69.0,0.18
393,1/17/2023 9:00,6.51,24.55,125.0,0.28
394,1/17/2023 10:00,6.54,17.94,116.0,0.12
395,1/17/2023 11:00,24.9,31.32,85.0,0.11
396,1/17/2023 12:00,23.57,28.73,137.0,0.16
397,1/17/2023 13:00,23.25,25.75,107.0,0.2
398,1/17/2023 14:00,12.74,24.96,12.0,0.17
399,1/17/2023 15:00,10.49,25.51,77.0,0.15
400,1/17/2023 16:00,15.91,19.66,17.0,0.18
401,1/17/2023 17:00,5.62,18.29,27.0,0.16
402,1/17/2023 18:00,20.32,18.02,112.0,0.26
403,1/17/2023 19:00,20.15,27.36,113.0,0.19
404,1/17/2023 20:00,24.61,32.58,38.0,0.21
405,1/17/2023 21:00,8.85,33.39,88.0,0.27
406,1/17/2023 22:00,17.36,17.57,94.0,0.12
407,1/17/2023 23:00,22.1,20.2,17.0,0.23
408,1/18/2023 0:00,12.02,29.92,54.0,0.15
409,1/18/2023 1:00,7.26,17.78,90.0,0.12
410,1/18/2023 2:00,18.87,27.44,8.0,0.29
411,1/18/2023 3:00,11.71,17.76,118.0,0.26
412,1/18/2023 4:00,13.04,31.97,127.0,0.1
413,1/18/2023 5:00,10.83,31.03,6.0,0.1
414,1/18/2023 6:00,12.23,30.43,140.0,0.15
415,1/18/2023 7:00,11.25,19.34,19.0,0.15
416,1/18/2023 8:00,11.42,28.35,150.0,0.27
417,1/18/2023 9:00,15.54,28.58,21.0,0.23
418,1/18/2023 10:00,19.94,20.16,92.0,0.16
419,1/18/2023 11:00,14.26,27.47,118.0,0.23
420,1/18/2023 12:00,7.26,19.19,54.0,0.11
421,1/18/2023 13:00,17.18,17.22,126.0,0.13
422,1/18/2023 14:00,8.14,29.65,34.0,0.11
423,1/18/2023 15:00,22.95,28.59,63.0,0.21
424,1/18/2023 16:00,8.2,19.53,63.0,0.23
425,1/18/2023 17:00,16.6,26.34,16.0,0.17
426,1/18/2023 18:00,14.83,20.83,26.0,0.29
427,1/18/2023 19:00,17.33,26.48,31.0,0.18
428,1/18/2023 20:00,22.28,16.97,94.0,0.3
429,1/18/2023 21:00,10.68,34.93,85.0,0.19
430,1/18/2023 22:00,12.9,28.42,117.0,0.26
431,1/18/2023 23:00,24.16,31.84,122.0,0.12
432,1/19/2023 0:00,18.56,22.95,118.0,0.11
433,1/19/2023 1:00,15.12,17.37,134.0,0.1
434,1/19/2023 2:00,23.99,25.09,126.0,0.1
435,1/19/2023 3:00,11.46,21.08,113.0,0.21
436,1/19/2023 4:00,23.52,28.83,125.0,0.29
437,1/19/2023 5:00,23.49,29.93,148.0,0.18
438,1/19/2023 6:00,24.65,30.64,90.0,0.28
439,1/19/2023 7:00,14.12,31.03,142.0,0.22
440,1/19/2023 8:00,7.43,26.49,131.0,0.27
441,1/19/2023 9:00,17.64,32.6,51.0,0.27
442,1/19/2023 10:00,7.06,16.78,29.0,0.2
443,1/19/2023 11:00,24.52,31.04,27.0,0.24
444,1/19/2023 12:00,8.03,31.59,61.0,0.21
445,1/19/2023 13:00,22.74,20.34,113.0,0.19
446,1/19/2023 14:00,9.75,19.15,38.0,0.11
447,1/19/2023 15:00,8.71,23.11,24.0,0.27
448,1/19/2023 16:00,12.07,16.9,65.0,0.18
449,1/19/2023 17:00,15.66,26.29,24.0,0.3
450,1/19/2023 18:00,5.85,25.37,65.0,0.27
451,1/19/2023 19:00,12.17,27.43,94.0,0.12
452,1/19/2023 20:00,13.45,16.89,36.0,0.13
453,1/19/2023 21:00,17.57,32.86,30.0,0.24
454,1/19/2023 22:00,14.16,26.51,30.0,0.18
455,1/19/2023 23:00,22.72,26.33,83.0,0.28
456,1/20/2023 0:00,11.76,26.99,109.0,0.21
457,1/20/2023 1:00,15.61,30.42,141.0,0.29
458,1/20/2023 2:00,8.31,32.35,14.0,0.16
459,1/20/2023 3:00,18.62,31.92,49.0,0.15
460,1/20/2023 4:00,15.06,19.1,23.0,0.29
461,1/20/2023 5:00,7.97,25.06,56.0,0.17
462,1/20/2023 6:00,23.43,15.72,115.0,0.14
463,1/20/2023 7:00,9.65,23.69,70.0,0.24
464,1/20/2023 8:00,8.81,23.86,101.0,0.14
465,1/20/2023 9:00,16.72,29.8,139.0,0.29
466,1/20/2023 10:00,16.12,28.47,72.0,0.29
467,1/20/2023 11:00,22.17,29.78,12.0,0.11
468,1/20/2023 12:00,22.18,31.76,107.0,0.2
469,1/20/2023 13:00,22.57,16.82,88.0,0.17
470,1/20/2023 14:00,13.31,23.59,60.0,0.24
471,1/20/2023 15:00,12.75,31.93,20.0,0.15
472,1/20/2023 16:00,24.83,32.4,148.0,0.26
473,1/20/2023 17:00,23.59,17.64,23.0,0.16
474,1/20/2023 18:00,23.05,19.01,101.0,0.13
475,1/20/2023 19:00,14.1,33.97,65.0,0.25
476,1/20/2023 20:00,9.77,24.68,92.0,0.16
477,1/20/2023 21:00,10.85,17.73,146.0,0.22
478,1/20/2023 22:00,24.31,20.12,96.0,0.25
